Area;Area Description;Element;Element Description;Placeholder;Placeholder Description
Purchase;;PurchaseHeader;;{s:distributorId};
Purchase;;PurchaseHeader;;{s:distributorAddress};
Purchase;;PurchaseHeader;;{s:orderId};
Purchase;;PurchaseHeader;;{s:orderDate};
Purchase;;PurchaseHeader;;{s:purchaser};
Purchase;;PurchaseHeader;;{s:informations};
Purchase;;PurchaseHeader;;{s:billingAddress};
Purchase;;PurchaseHeader;;{s:deliveryAddress};
Purchase;;PurchaseHeader;;{s:clientId};
Purchase;;Purchase;;{s:textHead};
Purchase;;Purchase;;{s:textFoot};
Purchase;;Purchase;;{s:sum};
Purchase;;Purchase;;{s:fullWeight};
Purchase;;Purchase;;{s:fullAmount};
Purchase;;PurchaseRow;;{s:position};
Purchase;;PurchaseRow;;{s:purchasePositionId};
Purchase;;PurchaseRow;;{s:purchaseId};
Purchase;;PurchaseRow;;{s:amount};
Purchase;;PurchaseRow;;{s:productId};
Purchase;;PurchaseRow;;{s:articleNumber};
Purchase;;PurchaseRow;;{s:name};
Purchase;;PurchaseRow;;{s:generatedArticleNumber};
Purchase;;PurchaseRow;;{s:text};
Purchase;;PurchaseRow;;{s:price};
Purchase;;PurchaseRow;;{s:fullPrice};
Purchase;;PurchaseFooter;;{s:sum};
Purchase;;PurchaseFooter;;@PAGENUM@;
Purchase;;PurchaseFooter;;@PAGESCNT@;
Bank;;BankConnection;;{d:rows};
Bank;;BankConnectionRow;;{s:description};
Bank;;BankConnectionRow;;{s:bank};
Bank;;BankConnectionRow;;{s:bankCode};
Bank;;BankConnectionRow;;{s:bic};
Bank;;BankConnectionRow;;{s:accountNumber};
Bank;;BankConnectionRow;;{s:iban};
Bank;;BankConnectionRow;;{s:bankOwner};
Client;;Client;;{s:clientId};
Client;;Client;;{s:shortName};
Client;;Client;;{s:ownClientId};
Client;;Client;;{s:kind};
Client;;Client;;{s:group};
Client;;Client;;{s:sector};
Client;;Client;;{s:formOfOrganization};
Client;;Client;;{s:liableToTax};
Client;;Client;;{s:circularLetter};
Client;;Client;;{s:address};
Client;;Client;;{s:number};
Client;;Client;;{s:salutation};
Client;;Client;;{s:zipcode};
Client;;Client;;{s:city};
Client;;Client;;{s:title};
Client;;Client;;{s:federalState};
Client;;Client;;{s:firstname};
Client;;Client;;{s:land};
Client;;Client;;{s:name1};
Client;;Client;;{s:name3};
Client;;Client;;{s:name2};
Client;;Client;;{s:name4};
Client;;Client;;{s:birthdayDay};
Client;;Client;;{s:birthdayMonth};
Client;;Client;;{s:birthdayYear};
Client;;Client;;{s:active};
Client;;Client;;{s:telephone1};
Client;;Client;;{s:mobile1};
Client;;Client;;{s:telephone2};
Client;;Client;;{s:mobile2};
Client;;Client;;{s:telephone3};
Client;;Client;;{s:email1};
Client;;Client;;{s:fax1};
Client;;Client;;{s:email2};
Client;;Client;;{s:fax2};
Client;;Client;;{s:internet1};
Client;;Client;;{s:fax3};
Client;;Client;;{s:internet2};
Client;;Client;;{s:taxNumber};
Client;;Client;;{s:salesTaxIdentificationNumber};
Client;;Client;;{s:discount};
Client;;Client;;{s:condition};
Client;;Client;;{d:bankConnections};
Client;;Client;;{s:informations};
Client;;Client;;{d:addresses};
Client;;Client;;{d:contactPersons};
Client;;Client;;{d:moreData};
Client;;Client;;{d:linkedFiles};
Client;;ClientAddress;;{s:description};
Client;;ClientAddress;;{s:address};
Client;;ClientAddress;;{s:number};
Client;;ClientAddress;;{s:salutation};
Client;;ClientAddress;;{s:zipcode};
Client;;ClientAddress;;{s:city};
Client;;ClientAddress;;{s:title};
Client;;ClientAddress;;{s:federalState};
Client;;ClientAddress;;{s:firstname};
Client;;ClientAddress;;{s:land};
Client;;ClientAddress;;{s:name1};
Client;;ClientAddress;;{s:name3};
Client;;ClientAddress;;{s:name2};
Client;;ClientAddress;;{s:name4};
Client;;ClientAddress;;{s:information};
Client;;ClientContactPerson;;{s:department};
Client;;ClientContactPerson;;{s:function};
Client;;ClientContactPerson;;{s:salutation};
Client;;ClientContactPerson;;{s:telephone};
Client;;ClientContactPerson;;{s:title};
Client;;ClientContactPerson;;{s:mobile};
Client;;ClientContactPerson;;{s:firstname};
Client;;ClientContactPerson;;{s:fax};
Client;;ClientContactPerson;;{s:lastname};
Client;;ClientContactPerson;;{s:email};
Client;;ClientContactPerson;;{s:internet};
Client;;ClientContactPerson;;{s:information};
Client;;ClientHeader;;{s:name};
Client;;ClientFooter;;@PAGENUM@;
Client;;ClientFooter;;@PAGESCNT@;
Informationen;;Informationen;;{s:text};
Key;;KeyValue;;{d:rows};
Key;;KeyValueRow;;{s:key};
Key;;KeyValueRow;;{s:value};
Linked;;LinkedFileRow;;{s:description};
Linked;;LinkedFileRow;;{s:pathAndFile};
Monition;;Monition;;{s:company};
Monition;;Monition;;{s:executive};
Monition;;Monition;;{s:address1};
Monition;;Monition;;{s:zipcode};
Monition;;Monition;;{s:city};
Monition;;Monition;;{s:billAddress};
Monition;;Monition;;{s:translatedBillAddress};
Monition;;Monition;;{s:telephone};
Monition;;Monition;;{s:fax};
Monition;;Monition;;{s:email};
Monition;;Monition;;{s:web};
Monition;;Monition;;{s:salesTaxIdentificationNumber};
Monition;;Monition;;{s:taxNumber};
Monition;;Monition;;{s:orderSalesTaxIdentificationNumber};
Monition;;Monition;;{s:orderTaxNumber};
Monition;;Monition;;{s:invoiceId};
Monition;;Monition;;{s:invoiceDate};
